latitude,longitude,elevation_m,slope_deg,aspect_deg,flood_risk_zone,source,resolution_m
12.8659,74.8181,4.5,7.78,62.9,HIGH,SRTM_30m_simulated,150
12.86725,74.81,0.0,10.31,298.8,HIGH,SRTM_30m_simulated,150
12.86725,74.81135,0.0,3.82,213.9,HIGH,SRTM_30m_simulated,150
12.86725,74.8127,0.0,0.31,133.7,HIGH,SRTM_30m_simulated,150
12.86725,74.81405,0.0,12.44,276.2,HIGH,SRTM_30m_simulated,150
12.86725,74.8154,2.2,9.71,185.3,HIGH,SRTM_30m_simulated,150
12.86725,74.81675,2.8,12.62,168.9,HIGH,SRTM_30m_simulated,150
12.8686,74.81,0.0,4.41,71.2,HIGH,SRTM_30m_simulated,150
12.8686,74.81135,0.0,0.08,48.8,HIGH,SRTM_30m_simulated,150
12.8686,74.8127,0.0,13.56,322.3,HIGH,SRTM_30m_simulated,150
12.8686,74.81405,0.2,4.66,148.3,HIGH,SRTM_30m_simulated,150
12.8686,74.8154,2.1,9.95,331.4,HIGH,SRTM_30m_simulated,150
12.8686,74.81675,4.3,13.45,182.9,HIGH,SRTM_30m_simulated,150
12.86995,74.81,0.0,3.16,296.2,HIGH,SRTM_30m_simulated,150
12.86995,74.81135,0.0,9.16,270.7,HIGH,SRTM_30m_simulated,150
12.86995,74.8127,0.0,5.15,157.8,HIGH,SRTM_30m_simulated,150
12.86995,74.81405,0.0,12.98,77.0,HIGH,SRTM_30m_simulated,150
12.86995,74.8154,2.0,14.01,64.3,HIGH,SRTM_30m_simulated,150
12.8713,74.81,0.0,11.39,194.0,HIGH,SRTM_30m_simulated,150
12.8713,74.81135,0.0,12.75,297.7,HIGH,SRTM_30m_simulated,150
12.8713,74.8127,0.0,5.96,184.0,HIGH,SRTM_30m_simulated,150
12.8713,74.81405,0.1,3.85,1.7,HIGH,SRTM_30m_simulated,150
12.8713,74.8154,3.5,9.98,265.0,HIGH,SRTM_30m_simulated,150
12.87265,74.81,0.0,6.29,60.5,HIGH,SRTM_30m_simulated,150
12.87265,74.81135,0.0,11.62,278.2,HIGH,SRTM_30m_simulated,150
12.87265,74.8127,0.0,13.16,325.9,HIGH,SRTM_30m_simulated,150
12.87265,74.81405,1.8,3.52,251.0,HIGH,SRTM_30m_simulated,150
12.87265,74.8154,4.6,13.53,278.7,HIGH,SRTM_30m_simulated,150
12.874,74.81,0.0,0.07,234.8,HIGH,SRTM_30m_simulated,150
12.874,74.81135,0.0,14.5,13.2,HIGH,SRTM_30m_simulated,150
12.874,74.8127,0.0,14.91,205.5,HIGH,SRTM_30m_simulated,150
12.874,74.81405,3.6,4.72,84.1,HIGH,SRTM_30m_simulated,150
12.87535,74.81,0.0,8.59,243.6,HIGH,SRTM_30m_simulated,150
12.87535,74.81135,0.0,1.17,329.8,HIGH,SRTM_30m_simulated,150
12.87535,74.8127,0.8,0.62,234.2,HIGH,SRTM_30m_simulated,150
12.87535,74.81405,3.3,4.27,195.1,HIGH,SRTM_30m_simulated,150
12.8767,74.81,0.0,1.6,330.3,HIGH,SRTM_30m_simulated,150
12.8767,74.81135,0.0,7.98,3.8,HIGH,SRTM_30m_simulated,150
12.8767,74.8127,2.4,1.67,233.7,HIGH,SRTM_30m_simulated,150
12.8767,74.81405,4.5,3.95,81.4,HIGH,SRTM_30m_simulated,150
12.87805,74.81,0.0,10.38,143.3,HIGH,SRTM_30m_simulated,150
12.87805,74.81135,0.1,9.96,213.0,HIGH,SRTM_30m_simulated,150
12.87805,74.8127,2.8,11.52,16.3,HIGH,SRTM_30m_simulated,150
12.8794,74.81,0.0,1.25,123.0,HIGH,SRTM_30m_simulated,150
12.8794,74.81135,1.0,1.05,349.4,HIGH,SRTM_30m_simulated,150
12.8794,74.8127,3.6,11.84,228.5,HIGH,SRTM_30m_simulated,150
12.88075,74.81,0.4,0.91,356.8,HIGH,SRTM_30m_simulated,150
12.88075,74.81135,2.1,6.74,16.9,HIGH,SRTM_30m_simulated,150
12.88075,74.8127,4.5,7.2,17.1,HIGH,SRTM_30m_simulated,150
12.8821,74.81,0.2,4.49,42.2,HIGH,SRTM_30m_simulated,150
12.8821,74.81135,2.5,5.78,339.2,HIGH,SRTM_30m_simulated,150
12.88345,74.81,0.9,11.57,24.4,HIGH,SRTM_30m_simulated,150
12.88345,74.81135,3.6,4.97,102.1,HIGH,SRTM_30m_simulated,150
12.8848,74.81,2.4,2.26,144.4,HIGH,SRTM_30m_simulated,150
12.8848,74.81135,4.3,6.44,272.3,HIGH,SRTM_30m_simulated,150
12.88615,74.81,3.4,5.03,223.6,HIGH,SRTM_30m_simulated,150
12.88615,74.81135,4.8,15.27,352.1,HIGH,SRTM_30m_simulated,150
12.8875,74.81,2.8,5.29,303.2,HIGH,SRTM_30m_simulated,150
12.88885,74.81,4.2,4.38,155.2,HIGH,SRTM_30m_simulated,150
12.8902,74.81,3.2,2.96,248.1,HIGH,SRTM_30m_simulated,150
12.8929,74.81,4.7,8.11,350.5,HIGH,SRTM_30m_simulated,150
12.89425,74.81,4.3,4.02,119.0,HIGH,SRTM_30m_simulated,150
12.8956,74.81,4.3,1.17,85.7,HIGH,SRTM_30m_simulated,150
12.901,74.81,4.4,6.56,165.1,HIGH,SRTM_30m_simulated,150
12.90235,74.81,4.6,6.05,153.0,HIGH,SRTM_30m_simulated,150
12.9037,74.81,4.8,9.6,230.8,HIGH,SRTM_30m_simulated,150
12.9091,74.81,4.8,14.72,79.5,HIGH,SRTM_30m_simulated,150
12.91045,74.81,4.8,12.59,190.7,HIGH,SRTM_30m_simulated,150
12.91315,74.81,4.3,8.02,133.2,HIGH,SRTM_30m_simulated,150
12.91585,74.81,4.1,1.49,301.1,HIGH,SRTM_30m_simulated,150
12.9226,74.81,3.8,7.26,358.0,HIGH,SRTM_30m_simulated,150
12.92395,74.81,4.9,5.43,339.4,HIGH,SRTM_30m_simulated,150
12.92665,74.81,4.8,10.07,69.4,HIGH,SRTM_30m_simulated,150
